upd   35  steps   73728  sps 934  opp strn  loss +0.021  pg +0.0182  v 0.011  ev +0.97  adv_std 0.067  tR -1.00  ent[s/d/p/e] 0.72/2.88/0.23/0.54  emits 1.04  spf 10.8  z0 0.43  garr 11.2  tG 55  e2 0.25  nF 23.4  pS 0.11  ptS 0.12  fLog 0.30  pdΔ -0.3893  pkR 15.36  clip 0.06  kl +0.001 align[spf 20.7 e2 0.16 z0 0.58 n=20]
upd   36  steps   75776  sps 956  opp rand  loss -0.012  pg -0.0102  v 0.002  ev +0.98  adv_std 0.059  tR -1.00  ent[s/d/p/e] 0.79/2.87/0.20/0.51  emits 1.06  spf 10.8  z0 0.44  garr 12.5  tG 62  e2 0.24  nF 22.2  pS 0.11  ptS 0.12  fLog 0.30  pdΔ -0.3864  pkR 16.83  clip 0.17  kl +0.006 align[spf 20.7 e2 0.16 z0 0.58 n=20]
upd   37  steps   77824  sps 976  opp strn  loss +0.037  pg +0.0382  v 0.002  ev +0.98  adv_std 0.059  tR -0.71  ent[s/d/p/e] 0.74/2.88/0.20/0.51  emits 1.04  spf 9.3  z0 0.46  garr 13.8  tG 76  e2 0.26  nF 21.8  pS 0.12  ptS 0.12  fLog 0.29  pdΔ -0.3850  pkR 21.44  clip 0.10  kl +0.001 align[spf 20.1 e2 0.17 z0 0.57 n=21]
upd   38  steps   79872  sps 998  opp rand  loss +0.045  pg +0.0469  v 0.001  ev +0.99  adv_std 0.051  tR -1.00  ent[s/d/p/e] 0.72/2.88/0.20/0.50  emits 1.02  spf 11.8  z0 0.44  garr 16.2  tG 89  e2 0.25  nF 21.7  pS 0.12  ptS 0.13  fLog 0.30  pdΔ -0.3779  pkR 20.89  clip 0.23  kl +0.009 align[spf 20.1 e2 0.17 z0 0.57 n=21]
upd   39  steps   81920  sps 1019  opp rand  loss -0.000  pg +0.0014  v 0.001  ev +0.99  adv_std 0.052  tR -1.00  ent[s/d/p/e] 0.76/2.88/0.19/0.53  emits 1.11  spf 10.7  z0 0.40  garr 17.5  tG 107  e2 0.29  nF 22.2  pS 0.14  ptS 0.14  fLog 0.30  pdΔ -0.3635  pkR 22.41  clip 0.27  kl +0.008 align[spf 20.1 e2 0.17 z0 0.57 n=21]
upd   40  steps   83968  sps 1039  opp frzn  loss -0.000  pg +0.0014  v 0.002  ev +0.99  adv_std 0.055  tR -1.00  ent[s/d/p/e] 0.82/2.88/0.22/0.50  emits 1.25  spf 11.8  z0 0.37  garr 18.2  tG 120  e2 0.30  nF 25.0  pS 0.15  ptS 0.15  fLog 0.30  pdΔ -0.3537  pkR 19.37  clip 0.10  kl +0.003 align[spf 19.7 e2 0.17 z0 0.56 n=22]
upd   41  steps   86016  sps 1060  opp rand  loss -0.038  pg -0.0366  v 0.001  ev +0.99  adv_std 0.053  tR -1.00  ent[s/d/p/e] 0.86/2.88/0.22/0.49  emits 1.22  spf 12.2  z0 0.40  garr 22.3  tG 171  e2 0.32  nF 25.8  pS 0.16  ptS 0.16  fLog 0.30  pdΔ -0.3418  pkR 21.66  clip 0.15  kl +0.006 align[spf 19.7 e2 0.17 z0 0.56 n=22]
upd   42  steps   88064  sps 1081  opp rand  loss -0.018  pg -0.0163  v 0.001  ev +0.99  adv_std 0.051  tR -1.00  ent[s/d/p/e] 0.91/2.88/0.25/0.53  emits 1.18  spf 14.0  z0 0.44  garr 28.7  tG 226  e2 0.29  nF 25.1  pS 0.17  ptS 0.17  fLog 0.32  pdΔ -0.3251  pkR 23.03  clip 0.12  kl +0.003 align[spf 19.7 e2 0.17 z0 0.56 n=22]
upd   43  steps   90112  sps 1101  opp rand  loss +0.016  pg +0.0180  v 0.002  ev +0.99  adv_std 0.060  tR -0.64  ent[s/d/p/e] 1.01/2.88/0.25/0.51  emits 1.19  spf 15.5  z0 0.47  garr 27.6  tG 178  e2 0.29  nF 23.6  pS 0.18  ptS 0.17  fLog 0.32  pdΔ -0.3238  pkR 26.05  clip 0.18  kl +0.009 align[spf 19.7 e2 0.17 z0 0.56 n=22]
upd   44  steps   92160  sps 1121  opp rand  loss -0.023  pg -0.0214  v 0.002  ev +0.99  adv_std 0.065  tR -1.00  ent[s/d/p/e] 1.07/2.88/0.25/0.46  emits 1.52  spf 11.5  z0 0.39  garr 21.5  tG 138  e2 0.41  nF 25.9  pS 0.19  ptS 0.19  fLog 0.31  pdΔ -0.3077  pkR 18.96  clip 0.13  kl +0.002 align[spf 19.7 e2 0.17 z0 0.56 n=22]
