[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.0 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.02; ANTI_HOARD=0.02/thresh0.55; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=2 (multi-match=BO3)
[gated-pool] seed_paths=./ckpt_multi_action_v16a_capture/ckpt_003199.pkl snapshot_current=False
[shape-adapter] padded tensors:
  encoder/planet_proj/kernel: (39, 256) -> (63, 256)
  encoder/global_proj/kernel: (27, 256) -> (427, 256)
  emit_head/fc1/kernel: (527, 64) -> (532, 64)
  pct_head/fc1/kernel: (775, 128) -> (776, 128)
[gated-pool] shape-adapted seed opponent ./ckpt_multi_action_v16a_capture/ckpt_003199.pkl
upd   32  steps   67584  sps 908  opp rand  loss -0.134  pg -0.1332  v 0.006  ev +0.96  adv_std 0.058  tR -1.00  ent[s/d/p/e] 0.72/2.90/0.16/0.37  emits 1.33  spf 6.6  z0 0.31  garr 7.0  tG 30  e2 0.33  nF 28.4  pS 0.11  ptS 0.11  fLog 0.27  pdΔ -0.3949  pkR 30.58  clip 0.14  kl +0.002 align[spf 12.7 e2 0.25 z0 0.43 n=14]
upd   33  steps   69632  sps 930  opp frzn  loss -0.031  pg -0.0291  v 0.002  ev +0.96  adv_std 0.057  tR -1.00  ent[s/d/p/e] 0.79/2.90/0.20/0.37  emits 1.48  spf 6.7  z0 0.31  garr 5.9  tG 26  e2 0.36  nF 31.2  pS 0.11  ptS 0.12  fLog 0.27  pdΔ -0.3891  pkR 24.45  clip 0.08  kl +0.004 align[spf 12.3 e2 0.26 z0 0.42 n=15]
upd   34  steps   71680  sps 953  opp frzn  loss -0.114  pg -0.1118  v 0.001  ev +0.98  adv_std 0.048  tR -1.00  ent[s/d/p/e] 0.80/2.89/0.21/0.37  emits 1.48  spf 6.6  z0 0.34  garr 6.3  tG 26  e2 0.35  nF 32.8  pS 0.11  ptS 0.12  fLog 0.27  pdΔ -0.3876  pkR 15.43  clip 0.18  kl +0.013 align[spf 11.9 e2 0.26 z0 0.42 n=16]
upd   35  steps   73728  sps 975  opp rand  loss -0.056  pg -0.0533  v 0.001  ev +0.98  adv_std 0.046  tR -1.00  ent[s/d/p/e] 0.80/2.89/0.17/0.37  emits 1.63  spf 6.3  z0 0.26  garr 7.8  tG 32  e2 0.41  nF 35.7  pS 0.12  ptS 0.13  fLog 0.26  pdΔ -0.3753  pkR 16.42  clip 0.20  kl +0.009 align[spf 11.9 e2 0.26 z0 0.42 n=16]
upd   36  steps   75776  sps 998  opp rand  loss -0.024  pg -0.0218  v 0.001  ev +0.98  adv_std 0.039  tR -1.00  ent[s/d/p/e] 0.81/2.89/0.15/0.35  emits 1.62  spf 6.7  z0 0.22  garr 8.7  tG 40  e2 0.40  nF 37.1  pS 0.13  ptS 0.14  fLog 0.27  pdΔ -0.3692  pkR 13.38  clip 0.20  kl +0.007 align[spf 11.9 e2 0.26 z0 0.42 n=16]
upd   37  steps   77824  sps 1020  opp rand  loss -0.014  pg -0.0132  v 0.006  ev +0.98  adv_std 0.040  tR -1.00  ent[s/d/p/e] 0.81/2.89/0.16/0.38  emits 1.59  spf 7.2  z0 0.24  garr 10.4  tG 51  e2 0.43  nF 36.2  pS 0.14  ptS 0.15  fLog 0.27  pdΔ -0.3612  pkR 12.78  clip 0.15  kl +0.005 align[spf 11.9 e2 0.26 z0 0.42 n=16]
upd   38  steps   79872  sps 1041  opp frzn  loss -0.020  pg -0.0188  v 0.006  ev +0.92  adv_std 0.084  tR -0.60  ent[s/d/p/e] 0.87/2.89/0.22/0.40  emits 1.77  spf 7.6  z0 0.28  garr 10.5  tG 49  e2 0.43  nF 37.4  pS 0.14  ptS 0.15  fLog 0.28  pdΔ -0.3560  pkR 12.41  clip 0.07  kl +0.004 align[spf 11.7 e2 0.27 z0 0.41 n=17]
upd   39  steps   81920  sps 1062  opp frzn  loss -0.015  pg -0.0124  v 0.001  ev +0.96  adv_std 0.053  tR -1.00  ent[s/d/p/e] 0.83/2.89/0.21/0.36  emits 1.82  spf 6.6  z0 0.26  garr 11.2  tG 38  e2 0.45  nF 38.4  pS 0.14  ptS 0.15  fLog 0.27  pdΔ -0.3640  pkR 19.32  clip 0.21  kl +0.010 align[spf 11.4 e2 0.28 z0 0.40 n=18]
upd   40  steps   83968  sps 1084  opp rand  loss -0.004  pg -0.0021  v 0.003  ev +0.97  adv_std 0.049  tR -1.00  ent[s/d/p/e] 0.69/2.89/0.15/0.37  emits 1.49  spf 6.4  z0 0.25  garr 11.6  tG 35  e2 0.41  nF 34.8  pS 0.12  ptS 0.13  fLog 0.27  pdΔ -0.3803  pkR 16.41  clip 0.17  kl +0.005 align[spf 11.4 e2 0.28 z0 0.40 n=18]
upd   41  steps   86016  sps 1106  opp rand  loss -0.020  pg -0.0180  v 0.002  ev +0.95  adv_std 0.063  tR -0.67  ent[s/d/p/e] 0.68/2.89/0.13/0.37  emits 1.40  spf 6.6  z0 0.26  garr 12.0  tG 33  e2 0.37  nF 32.6  pS 0.12  ptS 0.12  fLog 0.27  pdΔ -0.3832  pkR 17.57  clip 0.11  kl +0.005 align[spf 11.4 e2 0.28 z0 0.40 n=18]
